overall_rating,pros_sentiment,cons_sentiment,pros_sentiment_score,cons_sentiment_score,overall_sentiment
4,Positive,Positive,0.6249,0.5574,Positive
1,Positive,Positive,0.3612,0.4215,Positive
3,Positive,Negative,0.8658,-0.4767,Positive
5,Positive,Negative,0.6249,-0.2732,Positive
3,Neutral,Negative,0.0,-0.3818,Negative
4,Positive,Neutral,0.9413,0.0,Positive
4,Negative,Negative,-0.875,-0.3252,Negative
2,Positive,Negative,0.7906,-0.7579,Positive
4,Positive,Negative,0.8805,-0.505,Positive
2,Positive,Positive,0.6705,0.2782,Positive
5,Positive,Negative,0.8434,-0.6077,Positive
5,Positive,Positive,0.7351,0.3612,Positive
5,Positive,Negative,0.9698,-0.2755,Positive
5,Positive,Positive,0.4404,0.3818,Positive
5,Positive,Neutral,0.8165,0.0,Positive
4,Positive,Neutral,0.4767,0.0,Positive
1,Neutral,Negative,0.0,-0.2144,Negative
4,Positive,Neutral,0.8481,0.0,Positive
5,Positive,Neutral,0.8481,0.0,Positive
3,Positive,Neutral,0.4404,0.0,Negative
5,Positive,Positive,0.6369,0.1877,Positive
2,Positive,Negative,0.7276,-0.2037,Positive
3,Positive,Negative,0.8625,-0.3412,Positive
4,Positive,Negative,0.8126,-0.1027,Positive
4,Positive,Negative,0.4215,-0.34,Positive
2,Positive,Negative,0.4215,-0.7391,Negative
4,Positive,Negative,0.4404,-0.6711,Negative
4,Positive,Negative,0.9042,-0.5574,Positive
3,Positive,Positive,0.4588,0.2023,Positive
4,Positive,Neutral,0.3818,0.0,Positive
4,Positive,Positive,0.8074,0.1779,Positive
5,Positive,Positive,0.967,0.5698,Positive
4,Positive,Negative,0.91,-0.5106,Positive
5,Positive,Neutral,0.9501,0.0,Positive
1,Positive,Positive,0.8687,0.3013,Positive
4,Positive,Positive,0.763,0.4482,Positive
4,Positive,Positive,0.7967,0.4215,Positive
5,Positive,Neutral,0.7003,0.0,Positive
4,Positive,Negative,0.9493,-0.2846,Positive
4,Positive,Positive,0.4215,0.3818,Positive
4,Positive,Positive,0.8481,0.4215,Positive
